filename,pred_yolo,gt,class,iou_pred_c_gt,ioa_pred_c_gt,iou_pred_gt,ioa_pred_gt,score,box_inner,box_outer,cover,avg_area,slant_distance,time_to_landing
KIAH_nNX8QD-5aCc_61.png,[[2382.2827  659.1892 2651.6484  867.499 ]],[[2383.0 658.0 2647.0 868.0]],[0],0.8693760180649562,0.9999999999819624,0.9723478764214898,0.991951497377941,[0.960034],[[2393.7158   668.2625  2643.7961   863.95844]],[[2370.8496  650.1159 2659.5007  871.0396]],1.0,63769.875,,10.0
WFvS6ro_QuQ_LFML18.png,[[2001.9558  852.304  2087.2769  897.1208]],[[2159.0 840.0 2178.0 886.0]],[0],0.0,0.0,0.0,0.0,[0.72229064],[[2013.3889  861.3773 2079.4246  893.5802]],[[1990.5227  843.2307 2095.1292  900.6614]],0.0,6007.6177,,67.0
TP1LKkqkMUM_LGSA23.png,[[1914.4076   860.35736 2048.014    970.0501 ]],[[1919.0000000000002 856.0 2034.0000000000002 972.0]],[0],0.7133814270030822,0.9999999999250374,0.8201471853690021,0.945627146682885,[0.9454092],[[1925.8407   869.43066 2040.1616   966.5095 ]],[[1902.9745   851.28406 2055.8662   973.5907 ]],1.0,18699.674,,18.0
MxbqrnUApaE_LWSK19.png,[[ 596.68115  191.69005 1356.8601   688.6484 ]],[[595.0000000000001 191.0 1367.0 693.0]],[0],0.9669278829294481,0.9954259701016263,0.9747983454781909,0.9747983454756757,[0.97308946],[[ 608.11426  200.76335 1349.0078   685.1078 ]],[[ 585.24805  182.61674 1364.7124   692.18896]],0.0,397193.38,,7.0
LFMN_rjWG3WRM5yk_43.png,[[1841.824  1177.3192 2105.489  1322.9525]],[[1743.0 1170.0 2199.0 1470.0]],[0],0.322512675133205,0.3236828182936453,0.28069013272112575,0.2806901327190739,[0.9519153],[[1853.2571 1186.3926 2097.6367 1319.4119]],[[1830.3909 1168.2458 2113.3413 1326.4932]],0.0,44776.15,,9.0
LFMN_rjWG3WRM5yk_41.png,[[1916.6877 1224.7045 2033.3999 1331.9647]],[[1928.0 1222.0 2028.0 1337.0]],[0],0.6899154266773986,0.9870032268163476,0.8069200236387097,0.9326978599732436,[0.9295763],[[1928.1208 1233.7778 2025.5476 1328.4241]],[[1905.2546 1215.6311 2041.2522 1335.5054]],0.0,16302.607,,19.0
mg7v0EMfJ74_ZBAA47.png,[[ 989.37854  208.45956 1041.1306   287.10162]],[[987.0000000000001 208.0 1043.0 302.0]],[0],0.6501201629664565,0.8791724670038616,0.7731553283505905,0.7731553282037145,[0.83698934],[[1000.81165  217.53287 1033.2783   283.56104]],[[ 977.94543  199.38626 1048.9829   290.6422 ]],0.0,6482.5923,,11.0
MxbqrnUApaE_LWSK16.png,[[924.76434 478.8115  974.4777  545.068  ]],[[931.0 477.0 968.0 539.0]],[0],0.4215392257214268,0.9999999995640803,0.66262056546938,0.9707823718361414,[0.9167092],[[936.19745 487.8848  966.6254  541.5274 ]],[[913.33124 469.7382  982.33    548.6086 ]],1.0,5441.961,,22.0
3VrwyzGRCCc_LGKR19.png,[[2877.5215   867.09467 2937.205    942.1945 ]],[[2881.0 866.0 2935.0 939.0]],[0],0.5691049620564547,0.9999999997463217,0.8550091505541337,0.9850045815673346,[0.87399924],[[2888.9546   876.16797 2929.3528   938.65393]],[[2866.0884   858.02136 2945.0574   945.7351 ]],1.0,6926.666,,27.0
0CLSYZPFbTg_LTAI20.png,[[767.5384  330.0086  973.08746 492.60406]],[[765.0 327.0 972.0 493.0]],[0],0.8722847056224351,0.9999999999708981,0.9625265301862554,0.9674794581413283,[0.9574235],[[778.9715  339.0819  965.23517 489.06348]],[[756.1053  320.9353  980.93976 496.14465]],1.0,39393.1,,30.0
DSHCxCMrNAg_LGAV15.png,[[873.7759  382.0049  932.5537  453.99783]],[[872.0 379.0 936.0 459.0]],[0],0.7504168805286558,0.981730270193998,0.8264820098876953,0.826482009726273,[0.8987973],[[885.209   391.07822 924.7014  450.45724]],[[862.3428  372.9316  940.406   457.53842]],0.0,6604.681,,28.0
KJFK_4bYcfALapdE_28.png,[[2170.9048 1077.8273 2284.3608 1189.547 ]],[[2170.0 1076.0 2284.0 1192.0]],[0],0.801248542633215,0.9999999999243799,0.9525534153392824,0.9554572350964522,[0.9086853],[[2182.338  1086.9006 2276.5085 1186.0063]],[[2159.4717 1068.7539 2292.2131 1193.0876]],1.0,16504.242,,35.0
qETgtQX4bV8_VRMM28.png,[[1736.1031  954.5251 1806.8112 1028.586 ]],[[1737.0 945.0 1806.0 1032.0]],[0],0.7625544707573109,0.9948071006783908,0.833707449141717,0.8512755644684645,[0.91755104],[[1747.5363  963.5984 1798.9589 1025.0454]],[[1724.67    945.4518 1814.6635 1032.1267]],0.0,7800.172,,11.0
aJmW2DAGVg8_LPPT41.png,[[2753.7415  830.8083 3018.4656 1024.7887]],[[2749.0 830.0 3022.0 1030.0]],[0],0.9156625938435775,0.9916467284974629,0.9404998712225274,0.9404998712053022,[0.96641046],[[2765.1746  839.8816 3010.6133 1021.2481]],[[2742.3083  821.735  3026.3179 1028.3293]],0.0,58674.766,,18.0
Ymn9pfxh26c_KLAX62.png,[[1904.5292   894.36145 2607.0352  1194.0636 ]],[[1887.0 893.0 2614.0 1205.0]],[0],0.9438226345805034,0.9681091935288821,0.9282198835881564,0.9282198835840642,[0.9713578],[[1915.9623   903.43475 2599.1829  1190.523  ]],[[1893.0961   885.28815 2614.8875  1197.6042 ]],0.0,225427.06,,19.0
0fiHJrxfJPE_KSFO37.png,[[1308.1768 1271.0974 1483.4082 1397.4983]],[[1303.0 1261.0 1478.0 1396.0]],[0],0.8613460024686617,0.9924135560922523,0.8635477306793156,0.897835446869726,[0.92642796],[[1319.6099 1280.1707 1475.5559 1393.9578]],[[1296.7437 1262.0242 1491.2605 1401.0388]],0.0,27040.691,,25.0
