filename,pred_yolo_v6,gt_v6,class_v6,iou_v6,pred_yolo_v5,gt_v5,class_v5,iou_v5
/home/aws_install/data/yolo_database/images/test/0CLSYZPFbTg_LTAI20.png,[924.76434326 478.81149292 974.47772217 545.06799316],[931. 477. 968. 539.],0.0,0.6626205597551957,[926.96252441 478.15634155 973.03259277 545.65576172],[931. 477. 968. 539.],0.0,0.714107616572701
/home/aws_install/data/yolo_database/images/test/0CLSYZPFbTg_LTAI22.png,[ 929.06188965  393.70037842 1017.39416504  489.81414795],[ 928.  393. 1015.  490.],0.0,0.9527891110650853,[ 931.33935547  393.9362793  1012.67749023  489.00946045],[ 928.  393. 1015.  490.],0.0,0.9163497121893607
/home/aws_install/data/yolo_database/images/test/0CLSYZPFbTg_LTAI24.png,[ 618.81854248  372.3024292  1200.97387695  681.08868408],[ 610.  370. 1206.  686.],0.0,0.9544726737950396,[ 624.28491211  373.57354736 1192.45202637  677.41717529],[ 610.  370. 1206.  686.],0.0,0.9166275022642247
/home/aws_install/data/yolo_database/images/test/0fiHJrxfJPE_KSFO35.png,[1736.10314941  954.52508545 1806.81115723 1028.58605957],[1737.  945. 1806. 1032.],0.0,0.833707471558026,[1743.98522949  969.82269287 1789.69714355 1028.65222168],[1745.  958. 1791. 1030.],0.0,0.7798775356593899
/home/aws_install/data/yolo_database/images/test/0fiHJrxfJPE_KSFO37.png,[1734.22998047  924.94787598 1872.59375    1035.5012207 ],[1740.  919. 1874. 1038.],0.0,0.8839107211654108,[1738.03173828  953.52563477 1804.86865234 1025.89111328],[1737.  945. 1806. 1032.],0.0,0.8057113557622053
/home/aws_install/data/yolo_database/images/test/0fiHJrxfJPE_KSFO39.png,[2050.43310547  856.31030273 2140.27148438  942.31628418],[2039.  854. 2147.  954.],0.0,0.7154294397488788,[1735.45715332  927.98016357 1872.49890137 1034.96435547],[1740.  919. 1874. 1038.],0.0,0.8626629055531907
/home/aws_install/data/yolo_database/images/test/17MUtbOfdNQ_LICJ36.png,[1916.95788574  858.54846191 2227.85253906 1026.3338623 ],[1910.  857. 2233. 1029.],0.0,0.9389369984637697,[2052.38061523  857.04174805 2143.33764648  945.91625977],[2039.  854. 2147.  954.],0.0,0.7484964573824847
/home/aws_install/data/yolo_database/images/test/17MUtbOfdNQ_LICJ38.png,[2122.62939453  965.18444824 2281.68408203 1086.46789551],[2117.  964. 2283. 1089.],0.0,0.9296723278918898,[1916.36914062  860.06774902 2231.02294922 1026.82507324],[1910.  857. 2233. 1029.],0.0,0.9444673334353171
/home/aws_install/data/yolo_database/images/test/1Qw7NtqURJ008.png,[1904.5291748   894.3614502  2607.03515625 1194.06359863],[1887.  893. 2614. 1205.],0.0,0.9282199058713129,[2127.11572266  965.84686279 2274.56884766 1087.06176758],[2117.  964. 2283. 1089.],0.0,0.8613742895011443
/home/aws_install/data/yolo_database/images/test/1Qw7NtqURJ017.png,[1947.46337891  935.53198242 1982.88598633  983.64941406],[1949.  917. 1985.  986.],0.0,0.6374300177365311,[1903.39819336  891.29870605 2612.44018555 1193.21643066],[1887.  893. 2614. 1205.],0.0,0.9334990415553829
/home/aws_install/data/yolo_database/images/test/3VrwyzGRCCc_LGKR19.png,[1932.06787109  897.07330322 2054.02612305 1005.574646  ],[1933.  888. 2053. 1009.],0.0,0.8837729526132391,[1929.41796875  892.88006592 2049.56787109 1008.84161377],[1933.  888. 2053. 1009.],0.0,0.9050585035729117
/home/aws_install/data/yolo_database/images/test/3VrwyzGRCCc_LGKR22.png,[1117.22460938 1348.97033691 1161.35009766 1424.13391113],[1111. 1348. 1169. 1428.],0.0,0.7147908218461891,[1118.07775879 1351.28979492 1161.27062988 1417.76293945],[1111. 1348. 1169. 1428.],0.0,0.6187857678738133
/home/aws_install/data/yolo_database/images/test/3VrwyzGRCCc_LGKR23.png,[1417.98547363 1324.43920898 1492.81530762 1416.8046875 ],[1408. 1323. 1495. 1423.],0.0,0.7944475199093763,[1421.72497559 1326.77905273 1488.48620605 1414.13793945],[1408. 1323. 1495. 1423.],0.0,0.6703662953705624
/home/aws_install/data/yolo_database/images/test/98X64I_4ljk_LPPT32.png,[ 640.88293457 1479.50769043  694.14990234 1572.2845459 ],[ 630. 1476.  703. 1581.],0.0,0.6447412616274983,[ 638.24816895 1479.68798828  694.50219727 1573.1003418 ],[ 630. 1476.  703. 1581.],0.0,0.6855604931682989
/home/aws_install/data/yolo_database/images/test/98X64I_4ljk_LPPT36.png,[ 916.21179199 1253.73181152  995.00280762 1359.98083496],[ 902. 1250. 1000. 1365.],0.0,0.7428099792196143,[ 917.20043945 1254.05249023  993.8302002  1356.35839844],[ 902. 1250. 1000. 1365.],0.0,0.6956235375437149
/home/aws_install/data/yolo_database/images/test/CYUL_06L_35_09.jpeg,[1553.84240723 1086.30456543 1634.84362793 1209.00134277],[1542. 1083. 1640. 1215.],0.0,0.7682891729424305,[1556.91674805 1086.68017578 1635.78125    1205.86328125],[1542. 1083. 1640. 1215.],0.0,0.7266014420237892
/home/aws_install/data/yolo_database/images/test/CYUL_06L_35_10.jpeg,[1218.92358398 1034.04516602 1351.77636719 1161.24145508],[1211. 1032. 1369. 1168.],0.0,0.7864101365907638,[1216.35888672 1034.67602539 1348.796875   1159.07104492],[1211. 1032. 1369. 1168.],0.0,0.7666896006573694
/home/aws_install/data/yolo_database/images/test/CYUL_06L_35_11.jpeg,[ 879.72521973 1183.89135742 1094.46020508 1332.43212891],[ 868. 1183. 1098. 1336.],0.0,0.9064194483889474,[ 892.91748047 1185.54467773 1093.97521973 1323.54345703],[ 868. 1183. 1098. 1336.],0.0,0.7884547481036518
/home/aws_install/data/yolo_database/images/test/CYUL_06L_35_12.jpeg,[1269.07910156 1263.65527344 1392.42602539 1419.23266602],[1266. 1261. 1412. 1424.],0.0,0.8063699803223919,[1268.49291992 1263.48876953 1392.22436523 1416.97119141],[1266. 1261. 1412. 1424.],0.0,0.797991507213069
/home/aws_install/data/yolo_database/images/test/CYUL_06L_35_13.jpeg,[1178.11132812 1137.56542969 1407.96875    1254.43994141],[1156. 1135. 1418. 1260.],0.0,0.8202892808113389,[1197.97412109 1138.14733887 1411.38696289 1248.3614502 ],[1156. 1135. 1418. 1260.],0.0,0.7182017314397652
/home/aws_install/data/yolo_database/images/test/CYUL_06L_35_14.jpeg,[ 995.60205078 1071.08630371 1119.9765625  1238.62683105],[ 976. 1069. 1140. 1250.],0.0,0.7019866352742484,[ 987.78717041 1073.55615234 1121.69970703 1243.32006836],[ 976. 1069. 1140. 1250.],0.0,0.7658508496288461
/home/aws_install/data/yolo_database/images/test/CYUL_06L_35_15.jpeg,[1225.91235352 1283.1262207  1394.71899414 1472.16845703],[1213. 1282. 1411. 1474.],0.0,0.839425106554822,[1225.34191895 1285.3503418  1393.44299316 1469.5246582 ],[1213. 1282. 1411. 1474.],0.0,0.8143913202702698
/home/aws_install/data/yolo_database/images/test/CYUL_06L_35_16.jpeg,[1232.50646973  981.32421875 1460.2911377  1184.27758789],[1227.  978. 1475. 1184.],0.0,0.9025479015404605,[1231.57177734  980.12438965 1451.58618164 1182.23132324],[1227.  978. 1475. 1184.],0.0,0.8703890659038713
/home/aws_install/data/yolo_database/images/test/CYUL_06L_35_17.jpeg,[1618.01635742  868.05657959 1799.18457031 1042.67810059],[1607.  867. 1823. 1043.],0.0,0.8321724771439671,[1620.1361084   868.97503662 1793.99890137 1040.96936035],[1607.  867. 1823. 1043.],0.0,0.7866007338633905
/home/aws_install/data/yolo_database/images/test/CYUL_06L_35_18.jpeg,[ 555.52685547 1171.03161621  823.93054199 1420.49133301],[ 535. 1169.  831. 1419.],0.0,0.8945615392427799,[ 550.1451416  1172.87414551  823.84741211 1414.19396973],[ 535. 1169.  831. 1419.],0.0,0.8925646460434875
/home/aws_install/data/yolo_database/images/test/CYUL_06L_35_19.jpeg,[1087.78967285 1116.72644043 1435.89318848 1365.26086426],[1066. 1115. 1434. 1365.],0.0,0.928631088670715,[1085.83508301 1117.74462891 1434.71765137 1362.8684082 ],[1066. 1115. 1434. 1365.],0.0,0.9258763717062602
/home/aws_install/data/yolo_database/images/test/CYUL_06L_35_20.jpeg,[ 822.55383301 1111.87988281 1229.06921387 1403.77416992],[ 810. 1113. 1231. 1406.],0.0,0.9547350993074738,[ 828.51464844 1114.0592041  1229.32177734 1404.07824707],[ 810. 1113. 1231. 1406.],0.0,0.9423500031652496
/home/aws_install/data/yolo_database/images/test/CYUL_06L_35_21.jpeg,[ 993.31060791 1206.0612793  1398.04052734 1533.90356445],[ 960. 1206. 1412. 1535.],0.0,0.8922692905439811,[ 982.13464355 1209.05712891 1410.11950684 1527.77612305],[ 960. 1206. 1412. 1535.],0.0,0.9172802077387424
/home/aws_install/data/yolo_database/images/test/CYUL_06L_35_22.jpeg,[ 803.44360352  984.93377686 1238.97705078 1268.33984375],[ 764.  985. 1238. 1268.],0.0,0.9136976134487033,[ 788.62884521  988.75726318 1236.28149414 1266.3190918 ],[ 764.  985. 1238. 1268.],0.0,0.9262668501991849
/home/aws_install/data/yolo_database/images/test/CYUL_06L_35_23.jpeg,[1616.40490723 1110.02893066 1685.1060791  1180.59436035],[1608. 1109. 1687. 1186.],0.0,0.7969632933411417,[1615.24572754 1110.97998047 1682.76428223 1180.79443359],[1608. 1109. 1687. 1186.],0.0,0.7749089217981617
/home/aws_install/data/yolo_database/images/test/CYUL_06L_35_24.jpeg,[1045.45092773  976.90515137 1195.93237305 1055.12451172],[1045.  976. 1206. 1061.],0.0,0.8601068613169444,[1047.07922363  976.98675537 1196.11853027 1054.57800293],[1045.  976. 1206. 1061.],0.0,0.8450234371584874
/home/aws_install/data/yolo_database/images/test/CYUL_06L_35_25.jpeg,[ 950.48840332 1133.79309082 1055.58215332 1210.56896973],[ 939. 1132. 1060. 1218.],0.0,0.7753858373826361,[ 948.62689209 1134.62646484 1054.11755371 1212.1472168 ],[ 939. 1132. 1060. 1218.],0.0,0.7858654058139393
/home/aws_install/data/yolo_database/images/test/CYUL_06L_35_26.jpeg,[1064.04443359 1138.00695801 1117.45263672 1202.69616699],[1059. 1137. 1125. 1207.],0.0,0.7478213016088907,[1065.10009766 1139.61523438 1120.56152344 1202.64599609],[1059. 1137. 1125. 1207.],0.0,0.7566614530303262
/home/aws_install/data/yolo_database/images/test/CYUL_24R_35_08.jpeg,[1505.16894531 1125.46411133 1578.08935547 1215.70922852],[1497. 1124. 1580. 1222.],0.0,0.8090374919979526,[1503.68286133 1127.04260254 1575.46557617 1216.24597168],[1497. 1124. 1580. 1222.],0.0,0.7872215404626571
/home/aws_install/data/yolo_database/images/test/CYUL_24R_35_09.jpeg,[1454.73486328 1134.33007812 1511.5300293  1245.61230469],[1448. 1132. 1515. 1257.],0.0,0.7546617948902187,[1454.14794922 1134.7520752  1512.99829102 1249.01086426],[1448. 1132. 1515. 1257.],0.0,0.8028858256268857
