filename,pred_yolo_v6,gt_v6,class_v6,iou_v6,score_v6,pred_yolo_v5,gt_v5,class_v5,iou_v5,score_v5,slant_distance,slant_distance_zscore,time_to_landing,bbox_area,x_A,y_A,x_B,y_B,x_C,y_C,x_D,y_D,x_A_norm,y_A_norm,x_B_norm,y_B_norm,x_C_norm,y_C_norm,x_D_norm,y_D_norm,file
0CLSYZPFbTg_LTAI20.png,[924.76434326 478.81149292 974.47772217 545.06799316],[931. 477. 968. 539.],0.0,0.6626205597551957,0.9167091846466064,[926.96252441 478.15634155 973.03259277 545.65576172],[931. 477. 968. 539.],0.0,0.714107616572701,0.9702023267745972,,,30.0,1477.5,952,477,941,478,931,539,968,539,0.4958333333333333,0.4416666666666666,0.4901041666666667,0.4425925925925926,0.4848958333333333,0.499074074074074,0.5041666666666667,0.499074074074074,LARD_test_real_nominal_cases.csv
0CLSYZPFbTg_LTAI22.png,[ 929.06188965  393.70037842 1017.39416504  489.81414795],[ 928.  393. 1015.  490.],0.0,0.9527891110650853,0.9475812911987305,[ 931.33935547  393.9362793  1012.67749023  489.00946045],[ 928.  393. 1015.  490.],0.0,0.9163497121893607,0.9643151760101318,,,20.0,3492.0,964,393,979,393,928,490,1015,490,0.5020833333333333,0.3638888888888889,0.5098958333333333,0.3638888888888889,0.4833333333333333,0.4537037037037037,0.5286458333333334,0.4537037037037037,LARD_test_real_nominal_cases.csv
0CLSYZPFbTg_LTAI24.png,[ 618.81854248  372.3024292  1200.97387695  681.08868408],[ 610.  370. 1206.  686.],0.0,0.9544726737950396,0.9765777587890625,[ 624.28491211  373.57354736 1192.45202637  677.41717529],[ 610.  370. 1206.  686.],0.0,0.9166275022642247,0.9879365563392639,,,10.0,87429.5,923,370,945,370,610,661,1206,686,0.4807291666666666,0.3425925925925926,0.4921875,0.3425925925925926,0.3177083333333333,0.612037037037037,0.628125,0.6351851851851852,LARD_test_real_nominal_cases.csv
0fiHJrxfJPE_KSFO35.png,[1736.10314941  954.52508545 1806.81115723 1028.58605957],[1737.  945. 1806. 1032.],0.0,0.833707471558026,0.7631851434707642,[1743.98522949  969.82269287 1789.69714355 1028.65222168],[1745.  958. 1791. 1030.],0.0,0.7798775356593899,0.9101932048797607,,,40.0,1080.0,1759,958,1775,958,1745,1030,1791,1030,0.4580729166666666,0.4435185185185185,0.4622395833333333,0.4435185185185185,0.4544270833333333,0.4768518518518518,0.46640625,0.4768518518518518,LARD_test_real_domain_adaptation.csv
0fiHJrxfJPE_KSFO37.png,[1734.22998047  924.94787598 1872.59375    1035.5012207 ],[1740.  919. 1874. 1038.],0.0,0.8839107211654108,0.9175510406494141,[1738.03173828  953.52563477 1804.86865234 1025.89111328],[1737.  945. 1806. 1032.],0.0,0.8057113557622053,0.8940852284431458,,,25.0,1967.0,1782,945,1759,946,1806,1030,1737,1032,0.4640625,0.4375,0.4580729166666666,0.4379629629629629,0.4703125,0.4768518518518518,0.45234375,0.4777777777777778,LARD_test_real_domain_adaptation.csv
0fiHJrxfJPE_KSFO39.png,[2050.43310547  856.31030273 2140.27148438  942.31628418],[2039.  854. 2147.  954.],0.0,0.7154294397488788,0.9480592012405396,[1735.45715332  927.98016357 1872.49890137 1034.96435547],[1740.  919. 1874. 1038.],0.0,0.8626629055531907,0.9561752676963806,,,15.0,6280.0,1792,919,1820,919,1740,1037,1874,1038,0.4666666666666667,0.425462962962963,0.4739583333333333,0.425462962962963,0.453125,0.4800925925925925,0.4880208333333333,0.4805555555555555,LARD_test_real_domain_adaptation.csv
17MUtbOfdNQ_LICJ36.png,[1916.95788574  858.54846191 2227.85253906 1026.3338623 ],[1910.  857. 2233. 1029.],0.0,0.9389369984637697,0.9423098564147949,[2052.38061523  857.04174805 2143.33764648  945.91625977],[2039.  854. 2147.  954.],0.0,0.7484964573824847,0.9780434370040894,,,17.0,3782.5,2087,854,2118,855,2039,951,2147,954,0.5434895833333333,0.3953703703703703,0.5515625,0.3958333333333333,0.5309895833333333,0.4402777777777777,0.5591145833333333,0.4416666666666666,LARD_test_real_domain_adaptation.csv
17MUtbOfdNQ_LICJ38.png,[2122.62939453  965.18444824 2281.68408203 1086.46789551],[2117.  964. 2283. 1089.],0.0,0.9296723278918898,0.9695791006088257,[1916.36914062  860.06774902 2231.02294922 1026.82507324],[1910.  857. 2233. 1029.],0.0,0.9444673334353171,0.9630764722824097,,,7.0,23125.5,2063,857,2109,858,1910,1019,2233,1029,0.5372395833333333,0.3967592592592592,0.54921875,0.3972222222222222,0.4973958333333333,0.4717592592592592,0.5815104166666667,0.4763888888888888,LARD_test_real_domain_adaptation.csv
1Qw7NtqURJ008.png,[1904.5291748   894.3614502  2607.03515625 1194.06359863],[1887.  893. 2614. 1205.],0.0,0.9282199058713129,0.9180683493614197,[2127.11572266  965.84686279 2274.56884766 1087.06176758],[2117.  964. 2283. 1089.],0.0,0.8613742895011443,0.962165355682373,,,60.0,404.5,2203,480,2191,483,2185,545,2160,550,0.640406976744186,0.3333333333333333,0.6369186046511628,0.3354166666666666,0.6351744186046512,0.3784722222222222,0.627906976744186,0.3819444444444444,LARD_test_real_edge_cases.csv
1Qw7NtqURJ017.png,[1947.46337891  935.53198242 1982.88598633  983.64941406],[1949.  917. 1985.  986.],0.0,0.6374300177365311,0.9713578224182129,[1903.39819336  891.29870605 2612.44018555 1193.21643066],[1887.  893. 2614. 1205.],0.0,0.9334990415553829,0.9701403975486755,,,15.0,60408.5,1780,469,1805,469,2087,687,1593,712,0.5174418604651163,0.3256944444444444,0.5247093023255814,0.3256944444444444,0.6066860465116279,0.4770833333333333,0.4630813953488372,0.4944444444444444,LARD_test_real_edge_cases.csv
3VrwyzGRCCc_LGKR19.png,[1932.06787109  897.07330322 2054.02612305 1005.574646  ],[1933.  888. 2053. 1009.],0.0,0.8837729526132391,0.8084611892700195,[1929.41796875  892.88006592 2049.56787109 1008.84161377],[1933.  888. 2053. 1009.],0.0,0.9050585035729117,0.9814819693565369,,,27.0,999.0,2115,950,2135,950,2099,1024,2146,1024,0.55078125,0.4398148148148148,0.5559895833333334,0.4398148148148148,0.5466145833333333,0.4740740740740741,0.5588541666666667,0.4740740740740741,LARD_test_real_nominal_cases.csv
3VrwyzGRCCc_LGKR22.png,[1117.22460938 1348.97033691 1161.35009766 1424.13391113],[1111. 1348. 1169. 1428.],0.0,0.7147908218461891,0.9512841701507568,[1118.07775879 1351.28979492 1161.27062988 1417.76293945],[1111. 1348. 1169. 1428.],0.0,0.6187857678738133,0.970245361328125,,,12.0,8298.5,2200,964,2232,964,2117,1086,2283,1089,0.5729166666666666,0.4462962962962963,0.58125,0.4462962962962963,0.5513020833333333,0.5027777777777778,0.59453125,0.5041666666666667,LARD_test_real_nominal_cases.csv
3VrwyzGRCCc_LGKR23.png,[1417.98547363 1324.43920898 1492.81530762 1416.8046875 ],[1408. 1323. 1495. 1423.],0.0,0.7944475199093763,0.9283955097198486,[1421.72497559 1326.77905273 1488.48620605 1414.13793945],[1408. 1323. 1495. 1423.],0.0,0.6703662953705624,0.9518448710441589,,,8.0,101262.0,2214,893,2180,895,2614,1161,1887,1205,0.5765625,0.4134259259259259,0.5677083333333334,0.4143518518518518,0.6807291666666667,0.5375,0.49140625,0.5578703703703703,LARD_test_real_nominal_cases.csv
98X64I_4ljk_LPPT32.png,[ 640.88293457 1479.50769043  694.14990234 1572.2845459 ],[ 630. 1476.  703. 1581.],0.0,0.6447412616274983,0.95914226770401,[ 638.24816895 1479.68798828  694.50219727 1573.1003418 ],[ 630. 1476.  703. 1581.],0.0,0.6855604931682989,0.9397876262664795,,,35.0,748.0,1965,917,1979,918,1949,985,1985,986,0.51171875,0.424537037037037,0.5153645833333333,0.425,0.5075520833333333,0.4560185185185185,0.5169270833333334,0.4564814814814815,LARD_test_real_domain_adaptation.csv
98X64I_4ljk_LPPT36.png,[ 916.21179199 1253.73181152  995.00280762 1359.98083496],[ 902. 1250. 1000. 1365.],0.0,0.7428099792196143,0.929203987121582,[ 917.20043945 1254.05249023  993.8302002  1356.35839844],[ 902. 1250. 1000. 1365.],0.0,0.6956235375437149,0.9621812701225281,,,15.0,8580.0,2020,888,1997,889,1933,1008,2053,1009,0.5260416666666666,0.4111111111111111,0.5200520833333333,0.4115740740740741,0.5033854166666667,0.4666666666666667,0.5346354166666667,0.4671296296296296,LARD_test_real_domain_adaptation.csv
CYUL_06L_35_09.jpeg,[1553.84240723 1086.30456543 1634.84362793 1209.00134277],[1542. 1083. 1640. 1215.],0.0,0.7682891729424305,0.9650522470474243,[1556.91674805 1086.68017578 1635.78125    1205.86328125],[1542. 1083. 1640. 1215.],0.0,0.7266014420237892,0.9756616950035095,3.57436,0.910689775508323,,1132.0,1113,1348,1142,1349,1111,1426,1169,1428,0.454656862745098,0.5090634441087614,0.4665032679738562,0.5094410876132931,0.4538398692810457,0.5385196374622356,0.4775326797385621,0.5392749244712991,LARD_test_synth.csv
CYUL_06L_35_10.jpeg,[1218.92358398 1034.04516602 1351.77636719 1161.24145508],[1211. 1032. 1369. 1168.],0.0,0.7864101365907638,0.9597698450088501,[1216.35888672 1034.67602539 1348.796875   1159.07104492],[1211. 1032. 1369. 1168.],0.0,0.7666896006573694,0.9756872057914734,3.2780400000000003,0.7087668923363685,,1588.0,1465,1323,1495,1330,1408,1408,1470,1423,0.5984477124183006,0.4996223564954682,0.610702614379085,0.5022658610271903,0.5751633986928104,0.5317220543806647,0.6004901960784313,0.5373867069486404,LARD_test_synth.csv
CYUL_06L_35_11.jpeg,[ 879.72521973 1183.89135742 1094.46020508 1332.43212891],[ 868. 1183. 1098. 1336.],0.0,0.9064194483889474,0.943966269493103,[ 892.91748047 1185.54467773 1093.97521973 1323.54345703],[ 868. 1183. 1098. 1336.],0.0,0.7884547481036518,0.9597184658050537,2.88912,0.4437431081731778,,1949.0,680,1476,647,1481,703,1570,630,1581,0.2777777777777778,0.5574018126888217,0.264297385620915,0.5592900302114804,0.287173202614379,0.5929003021148036,0.2573529411764705,0.5970543806646526,LARD_test_synth.csv
CYUL_06L_35_12.jpeg,[1269.07910156 1263.65527344 1392.42602539 1419.23266602],[1266. 1261. 1412. 1424.],0.0,0.8063699803223919,0.9646426439285278,[1268.49291992 1263.48876953 1392.22436523 1416.97119141],[1266. 1261. 1412. 1424.],0.0,0.797991507213069,0.9689918756484985,2.33352,0.0651377022257627,,3032.0,964,1250,1000,1253,902,1360,992,1365,0.3937908496732026,0.4720543806646525,0.4084967320261438,0.4731873111782477,0.3684640522875817,0.513595166163142,0.4052287581699346,0.5154833836858006,LARD_test_synth.csv
CYUL_06L_35_13.jpeg,[1178.11132812 1137.56542969 1407.96875    1254.43994141],[1156. 1135. 1418. 1260.],0.0,0.8202892808113389,0.9585683345794678,[1197.97412109 1138.14733887 1411.38696289 1248.3614502 ],[1156. 1135. 1418. 1260.],0.0,0.7182017314397652,0.9800531268119812,2.25944,0.0146569814327741,,3633.0,1604,1083,1640,1086,1542,1205,1634,1215,0.6552287581699346,0.408987915407855,0.6699346405228758,0.4101208459214501,0.6299019607843137,0.4550604229607251,0.6674836601307189,0.4588368580060423,LARD_test_synth.csv
